Qualified Pre-Rinse Spray Valves			Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Pre-rinse spray valves must 				
"have a tested flow rate of 1.15 GPM or less, utilizing ASTM F23-24."				
NOTE: Program criteria are subject to change.				
"Check your utility rebate application for terms and conditions, and effective program dates."				
Company Name	Model Number	"Flow Rate
(GPM)"	Rebate	"PG&E
Measure
Code"
T & S	B-0133-A10-08C	0.65	$35	FS001
T & S	B-0133-A10-B08C	0.65	$35	FS001
T & S	B-0133-A12-08C	0.65	$35	FS001
T & S	B-0133-A12-B08C	0.65	$35	FS001
T & S	B-0133-A12-V-BC	0.65	$35	FS001
T & S	B-0133-A12-V-BJ	1.07	$35	FS001
T & S	B-0133-A12CR8C	0.65	$35	FS001
T & S	B-0133-A12CRB8C	0.65	$35	FS001
T & S	B-0133-AD12CRBJ	1.07	$35	FS001
T & S	B-0133-AD12CRJ	1.07	$35	FS001
T & S	B-0133-ADF-LN-J	1.07	$35	FS001
T & S	B-0133-ADF10-BJ	1.07	$35	FS001
T & S	B-0133-ADF12-BJ	1.07	$35	FS001
T & S	B-0133-ADF12-J	1.07	$35	FS001
T & S	B-0133-ADF14-BJ	1.07	$35	FS001
T & S	B-0133-B08C	0.65	$35	FS001
T & S	B-0133-BC	0.65	$35	FS001
T & S	B-0133-BJ	1.07	$35	FS001
T & S	B-0133-BJ-PS	1.07	$35	FS001
T & S	B-0133-BR-J	1.07	$35	FS001
T & S	B-0133-C	0.65	$35	FS001
T & S	B-0133-CCB08C	0.65	$35	FS001
T & S	B-0133-CCBJ	1.07	$35	FS001
T & S	B-0133-CCBJ-CR	1.07	$35	FS001
T & S	B-0133-CCJ	1.07	$35	FS001
T & S	B-0133-CR-08C	0.65	$35	FS001
T & S	B-0133-CR-B08C	0.65	$35	FS001
T & S	B-0133-CR-BC	0.65	$35	FS001
T & S	B-0133-CR-BJ	1.07	$35	FS001
T & S	B-0133-CR-C	0.65	$35	FS001
T & S	B-0133-CR-J	1.07	$35	FS001
T & S	B-0133-EE-BJ	1.07	$35	FS001
T & S	B-0133-J	1.07	$35	FS001
T & S	B-0133-J-LB	1.07	$35	FS001
T & S	B-0133-V-BC	0.65	$35	FS001
T & S	B-0133-V-BJ	1.07	$35	FS001
T & S	B-0137	0.65	$35	FS001
T & S	B-0140	0.65	$35	FS001
T & S	B-0148	0.65	$35	FS001
T & S	B-0152-CR-J-TEE	1.07	$35	FS001
T & S	B-0154-CR-J	1.07	$35	FS001
T & S	B-0167-J35	1.07	$35	FS001
T & S	B-0173-BC	0.65	$35	FS001
T & S	B-0173-BJ	1.07	$35	FS001
T & S	B-0173-C	0.65	$35	FS001
T & S	B-0173-J	1.07	$35	FS001
T & S	B-0175-J35	1.07	$35	FS001
T & S	B-0178-J	1.07	$35	FS001
T & S	B-0287-J	1.07	$35	FS001
T & S	B-0287-PS-OH	1.07	$35	FS001
T & S	B-0287-PS-OH-QD	1.07	$35	FS001
T & S	B-0287-PS-OH-VR	1.07	$35	FS001
T & S	B-0300-A16-WD	0.65	$35	FS001
T & S	B-0300-WD	0.65	$35	FS001
T & S	B-0950-J35	1.07	$35	FS001
T & S	B-0955-J	1.07	$35	FS001
T & S	B-1428	0.65	$35	FS001
T & S	B-2107-C	0.65	$35	FS001
T & S	B-2107-J	1.07	$35	FS001
T & S	B-2180-J	1.07	$35	FS001
T & S	B-2187-01-J	1.07	$35	FS001
T & S	B-2187-J	1.07	$35	FS001
T & S	B-2194-J	1.07	$35	FS001
T & S	B-2250-BC	0.65	$35	FS001
T & S	B-2250-BJ	1.07	$35	FS001
T & S	B-2250-J	1.07	$35	FS001
T & S	B-2263-J	1.07	$35	FS001
T & S	B-2277-CR-J	1.07	$35	FS001
T & S	B-2278-02	0.65	$35	FS001
T & S	B-2278-02-CR	0.65	$35	FS001
T & S	B-2278-CR-J	1.07	$35	FS001
T & S	B-2278-J	1.07	$35	FS001
T & S	B-2279	0.65	$35	FS001
T & S	B-2279-CR	0.65	$35	FS001
T & S	B-2285-12-CR-BC	0.65	$35	FS001
T & S	B-2285-12-CR-BJ	1.07	$35	FS001
